scinam,longevity,origin,data_sources
regulus satrapa,5.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
riparia riparia,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rissa brevirostris,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rissa tridactyla,28.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rostrhamus sociabilis,17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rupicola rupicola,7,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rynchops niger,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sagittarius serpentarius,18.6,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sarcoramphus papa,40,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sayornis nigricans,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sayornis phoebe,9.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sayornis saya,5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
scardafella inca,7.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
scolopax minor,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
seiurus aurocapillus,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
seiurus motacilla,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
seiurus noveboracensis,8.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
selasphorus platycercus,12.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
selasphorus rufus,4.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
selasphorus sasin,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
serinus canaria,7.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
serinus citrinella,5.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
serinus serinus,8.583,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
serinus syriacus,6.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
setophaga ruticilla,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sialia currucoides,4.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sialia mexicana,4.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sialia sialis,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta canadensis,7.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta carolinensis,9.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta europaea,12.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta neumayer,6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta pusilla,5.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sitta pygmaea,8.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
somateria mollissima,23,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
somateria spectabilis,18.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sphecotheres viridis,18,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spheniscus demersus,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spheniscus humboldti,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spheniscus magellanicus,13,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spheniscus mendiculus,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spiza americana,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spizella arborea,10.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spizella breweri,5.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spizella pallida,5.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spizella passerina,9.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
spizella pusilla,8.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sporophila torqueola,11.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
steganopus tricolor,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
stelgidopteryx ruficollis,5.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
stellula calliope,6.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
stercorarius longicaudus,8.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
stercorarius parasiticus,18,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna albifrons,23.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna anaethetus,17.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna antillarum,24.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna dougallii,25.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna forsteri,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna fuscata,34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna hirundo,33,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna lunata,25.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
sterna paradisaea,34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
streptopelia chinensis,7.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
streptopelia decaocto,13.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
streptopelia senegalensis,5.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
streptopelia turtur,13.17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
strix aluco,21.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
strix nebulosa,15.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
